"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","gene_id","gene_symbol"
1.35183146891008e-48,6.56322360310839,0.419,0.005,4.55486095134562e-44,"4","ENSG00000204616","ENSG00000204616","TRIM31"
2.8494352218867e-46,12.5565587541791,0.42,0.001,9.60088703662505e-42,"11","ENSG00000100448","ENSG00000100448","CTSG"
3.70434328521794e-146,11.8580647139479,0.983,0.006,1.24814142652133e-141,"11","ENSG00000172236","ENSG00000172236","TPSAB1"
4.47004126735826e-141,11.6533324395817,0.953,0.003,1.50613570462369e-136,"11","ENSG00000163751","ENSG00000163751","CPA3"
8.9284992075884e-146,11.4259379021039,0.984,0.012,3.00836852300484e-141,"11","ENSG00000197253","ENSG00000197253","TPSB2"
3.07605336523086e-113,11.2172446094492,0.8,0.001,1.03644542088089e-108,"11","ENSG00000149534","ENSG00000149534","MS4A2"
1.03359094306518e-53,11.061147742588,0.451,0,3.4825813235638e-49,"11","ENSG00000233968","ENSG00000233968","RP11-354E11.2"
3.30426084886203e-89,11.0392729039154,0.685,0.001,1.11333765041557e-84,"11","ENSG00000165646","ENSG00000165646","SLC18A2"
3.3032026173165e-20,10.5386910847091,0.209,0.001,1.11298108987862e-15,"11","ENSG00000157703","ENSG00000157703","SVOPL"
6.07463351354771e-77,10.3499961684708,0.641,0.001,2.04678701605476e-72,"11","ENSG00000140287","ENSG00000140287","HDC"
8.9191628892446e-36,9.98578129024287,0.334,0.001,3.00522274390207e-31,"11","ENSG00000169224","ENSG00000169224","GCSAML"
1.0518439605364e-109,9.28012127260629,0.815,0.009,3.54408304063133e-105,"11","ENSG00000179348","ENSG00000179348","GATA2"
2.87370363544464e-24,9.08664665747226,0.22,0,9.68265702926715e-20,"11","ENSG00000138395","ENSG00000138395","CDK15"
4.96143927560027e-34,7.96239502954309,0.327,0.011,1.67170734952075e-29,"6","ENSG00000275385","ENSG00000275385","CCL18"
1.91483958715318e-23,7.68489198732835,0.256,0.002,6.45186050495391e-19,"6","ENSG00000105609","ENSG00000105609","LILRB5"
4.09219121960055e-21,7.25258005971368,0.207,0.003,1.37882290953221e-16,"6","ENSG00000090659","ENSG00000090659","CD209"
4.05166382241105e-74,7.01195128077507,0.692,0.049,1.36516760832318e-69,"6","ENSG00000130208","ENSG00000130208","APOC1"
2.29433795577787e-37,6.73649433791483,0.344,0.005,7.73054230819794e-33,"6","ENSG00000095970","ENSG00000095970","TREM2"
1.33422438837619e-46,6.62662663162328,0.46,0.008,4.49553565419475e-42,"6","ENSG00000038945","ENSG00000038945","MSR1"
4.19798857488058e-120,6.55701252751166,0.892,0.041,1.41447027042026e-115,"6","ENSG00000173369","ENSG00000173369","C1QB"
2.91079593737776e-127,6.53952196227775,0.91,0.047,9.80763583140063e-123,"6","ENSG00000173372","ENSG00000173372","C1QA"
6.17074341077886e-117,6.52878381230846,0.884,0.032,2.07917028482783e-112,"6","ENSG00000159189","ENSG00000159189","C1QC"
8.96727263875748e-82,6.37145425714442,0.748,0.084,3.02143284290295e-77,"6","ENSG00000130203","ENSG00000130203","APOE"
3.33472480445711e-47,6.34973110607507,0.427,0.018,1.12360217561378e-42,"6","ENSG00000262406","ENSG00000262406","MMP12"
4.43589517648344e-31,6.16759408779468,0.353,0.014,1.49463052076433e-26,"6","ENSG00000165457","ENSG00000165457","FOLR2"
8.04813847919967e-21,7.48586662867964,0.211,0.001,2.71173977918154e-16,"10","ENSG00000170054","ENSG00000170054","SERPINA9"
7.01458518587762e-22,6.48649664672012,0.213,0.001,2.3634943325296e-17,"10","ENSG00000111732","ENSG00000111732","AICDA"
2.86724692301759e-25,5.96746255736231,0.251,0.008,9.66090178241546e-21,"10","ENSG00000175600","ENSG00000175600","SUGCT"
1.826602811584e-28,5.89878403313473,0.3,0.015,6.15455551335112e-24,"10","ENSG00000132744","ENSG00000132744","ACY3"
2.93793600888318e-68,5.32165141721496,0.642,0.036,9.89908158833099e-64,"10","ENSG00000166803","ENSG00000166803","KIAA0101"
1.19532876497738e-58,5.23753851988274,0.567,0.032,4.0275407407148e-54,"10","ENSG00000176890","ENSG00000176890","TYMS"
6.02953049422453e-38,5.22668207390867,0.404,0.02,2.03159000472401e-33,"10","ENSG00000157456","ENSG00000157456","CCNB2"
3.32081169895768e-27,5.18562987841645,0.255,0.008,1.1189142938468e-22,"10","ENSG00000225885","ENSG00000225885","AC023590.1"
2.34042318015445e-33,5.15571688726072,0.363,0.015,7.88582186321239e-29,"10","ENSG00000178999","ENSG00000178999","AURKB"
6.47925623752823e-22,5.14202748464982,0.262,0.012,2.18312059667276e-17,"10","ENSG00000126787","ENSG00000126787","DLGAP5"
6.21252483668037e-29,5.12677139804389,0.317,0.016,2.09324811847108e-24,"10","ENSG00000184357","ENSG00000184357","HIST1H1B"
1.14021787528825e-28,5.08524911539265,0.339,0.017,3.84185010899624e-24,"10","ENSG00000066279","ENSG00000066279","ASPM"
1.64886669253535e-47,5.83198368855494,0.52,0.01,5.55569143382862e-43,"16","ENSG00000273983","ENSG00000273983","HIST1H3G"
2.60180028953019e-35,5.7220422118467,0.382,0.01,8.76650589554302e-31,"16","ENSG00000167634","ENSG00000167634","NLRP7"
4.87534473923014e-45,5.7127205779958,0.48,0.01,1.6426986564362e-40,"16","ENSG00000179750","ENSG00000179750","APOBEC3B"
1.18136552907239e-39,5.00024944457945,0.431,0.011,3.9804930136565e-35,"16","ENSG00000276368","ENSG00000276368","HIST1H2AJ"
6.56043908371808e-22,4.88741513369071,0.244,0.005,2.21047434486797e-17,"16","ENSG00000278272","ENSG00000278272","HIST1H3C"
8.10809084827149e-45,4.81906887787164,0.488,0.011,2.7319401304166e-40,"16","ENSG00000274267","ENSG00000274267","HIST1H3B"
2.66915691877995e-16,4.80747660017051,0.203,0.013,8.99345732213716e-12,"16","ENSG00000153789","ENSG00000153789","FAM92B"
2.12606971188254e-61,4.54932526101017,0.683,0.046,7.16357928721702e-57,"16","ENSG00000124635","ENSG00000124635","HIST1H2BJ"
9.48580769759896e-86,4.46714650945107,1,0.137,3.19614804562899e-81,"16","ENSG00000170476","ENSG00000170476","MZB1"
1.31618346754962e-29,4.38067871246359,0.358,0.03,4.43474857556168e-25,"16","ENSG00000211640","ENSG00000211640","IGLV6-57"
1.83710003017397e-46,4.33841796950231,0.561,0.044,6.18992484166817e-42,"16","ENSG00000184451","ENSG00000184451","CCR10"
1.33400095123797e-46,4.32216093233172,0.528,0.022,4.49478280510123e-42,"16","ENSG00000258572","ENSG00000258572","RP11-1070N10.3"
7.69909377697337e-33,10.0972975331926,0.313,0.001,2.59413265721341e-28,"12","ENSG00000131097","ENSG00000131097","HIGD1B"
1.70938852847755e-26,9.71121132820762,0.254,0,5.75961370785227e-22,"12","ENSG00000180785","ENSG00000180785","OR51E1"
