"gene_symbol","0","1","10","11","12","13","14","15","16","17","2","3","4","5","6","7","8","9"
"CD3D",1.63897393978172,0.0134792233292598,0.625870346993268,0.00994780045196679,0.0146496976363099,0.0171546947837872,0.0389387734429747,0.0286319562443845,0.0159385535054667,0.0545759619275688,1.88313926297458,2.26214532730261,0.0298676398892824,0.0158199203973071,0.0169050502046498,0.0147284805929787,0.0138294488949837,0.0172484492399218
"CD3E",1.17317530915443,0.00820272844255839,0.387311072225903,0.010433103934126,0.0190881326792229,0.00928996180290632,0.00831613803247051,0.0272711014762606,0.00422689765393188,0.058159952845888,1.39092426439365,1.53413593710088,0.0198411133640925,0.0102791868684888,0.00425087015060611,0.0109505323947274,0.0250625574681896,0.00524095892659393
"TRAC",1.34179639162676,0.213542976055726,0.731854514041574,0.00361394070964015,0.0353279662129264,0.0445145568616428,0.0229160798076834,0.0333592163479115,0.0690288969589624,0.0211556143591146,1.4528320456479,2.10936635849608,0.0242832963871356,0.0326961296078362,0.0134373100237946,0.0157121068014943,0.0171069132537196,0.168766429843795
"CD2",1.3521046050118,0.00822210938538967,0.491553376879266,0.0068395089933072,0.00633146072235804,0.0308546140312745,0.0153519974177416,0.0317885425164618,0.00775102265657787,0.084386657288415,1.53343677748328,2.12442490822946,0.0235641028645936,0.00789128005875611,0.0125963846662741,0.0222598801398254,0.0266084309255724,0.0098641638021079
"IL7R",2.34686328542108,0.0264411987840621,0.293773700375568,0.0461361243190296,0.0463876053529674,0.0318405083876885,0.046700780613217,1.30628812254723,0.0121018365563315,0.317990615315239,1.57338400521443,2.0062706175898,0.0435529182408236,0.0231760243921194,0.524790639852526,0.694880838810951,0.0278787313831914,0.212687292745489
"NKG7",0.0359895513233991,0.0102926151043231,0.368960534521389,0.0791978754617433,0.0141409219121897,0.0205282430847778,0.0106639796272717,0.0226851140797343,0.0217500828715977,0.528140470799329,2.03880309224969,0.150953083263148,0.00815974787707146,0.00710193906353796,0.101214202875813,0.139756458592723,0.0259560578635584,0.010980891084311
"GNLY",0.0167958951273574,0.00775464183380012,0.199026699256839,0.00248245458504826,0.0129159640593328,0.0324725989136064,0.00351171572770538,0,0.0175280169416121,0,0.839680090665646,0.0967621598473113,0.0065683842368056,0.00928114349067486,0.0118260367397285,0.0084040300362243,0.0196717655933757,0.0168166497627989
"KLRD1",0.0127477239491035,0.00141591026687833,0.100616516536284,0,0.0187034299988214,0.0104411439442552,0,0,0,0,0.890029032503143,0.012942259431796,0.00363869408058105,0.0024974383411958,0.00409610717444139,0.00138887609098986,0.0188474256821156,0.0686008919288089
"KLRF1",0.00232740885755772,0.00583598192094937,0.0139775308430519,0.00510592539305072,0,0.0135375164513053,0,0,0,0.0248379050105599,0.103471933052617,0.00104262925533894,0.00123957254723117,0.00327953678526726,0.00667783823375797,0.00122654795518262,0,0.0164150453130647
"PRF1",0.0198901911357058,0.00100446071850395,0.0829932622162396,0.00323468574238402,0.0104924230842127,0.00386398502785014,0.0190936694641846,0.0240917988413379,0.00265145588116819,0.0118656058698069,0.706803271224379,0.111005121675098,0.00131871321209753,0.00131409816221867,0.00327035642835897,0.00427815471700155,0.00762748795124425,0.003260973722384
