"gene_symbol","g2-0","g2-1","g2-2","g2-3","g2-4","g2-5","g2-6","g2-7","g2-8"
"CD3D",11.5749142476547,6.14613715886221,13.3388550907301,8.04621368963514,1.97539452187219,11.6389584199587,10.3368786183148,7.53265877065933,19.2170674082986
"CD3E",5.32742005678509,4.78580932033462,6.37211203515174,5.22899770254188,2.15623514713938,5.19461408309013,5.66049266537308,6.38976133283573,6.53764888336793
"TRAC",7.09101087966518,6.54541582883341,9.55264414875504,4.21015808040411,1.19665746057226,4.26460832424812,6.63070181919356,6.19632494533677,12.0736845756788
"CD8A",3.43866053521859,6.7341820440443,5.41653472108853,3.49928736458649,1.17594940945938,1.032830763975,5.54947079774468,2.00872216504069,4.55190703128768
"CD8B",1.83223366449499,2.06503700485465,4.91627426684081,3.79867967658998,0.29965182703813,0.865602769514818,2.94521283701996,1.06586779846487,5.43851225811435
"NKG7",10.0420302867472,8.77885517932314,27.2106216902869,11.612736287243,32.4105076454853,14.0368657877309,6.58449360554392,5.55910798441354,16.1604807895598
"GNLY",11.2627359453522,5.62642781244366,15.1329315139464,0.458141244020317,71.0391179285264,27.6865915794944,5.53129219909452,1.42608785439135,32.7156028068788
"KLRD1",2.37269567170988,5.23172289025087,1.47708475283809,0.660941393320155,8.68931317362204,6.7440355433327,3.97495050937387,11.0448022736745,4.1508143411715
"KLRF1",0.0531862750853321,0.375012502269712,0.0717689112655416,0.135735350329277,3.10901751694407,0.109051777827378,0.0147560529329131,0.134022495416259,0.0250270291915269
"MS4A1",0.0438823254685084,0.319123424558864,0.0869746637587197,0.156995651252167,0.0637598931692168,0.0114131799401949,0.0262902602472862,0,0
"CD79A",0.0526591828092662,0.0649983430598539,0.0627129262893365,0.0868232506923595,0.0636806915339887,0.0271048431136346,0,0.0828820963597881,0.182497477767648
"CD79B",0.145542577790403,0.0555165078926352,0.0936384229063903,0.034099152298902,0.168250872816271,0.0105759671721979,0.0136772336974213,0,0.293186388575119
"CD37",3.04951745438028,2.59726703119652,4.07195088130345,3.38308073760863,3.46311406266847,2.72296178574999,2.68544888265721,2.56183178046895,2.96984818891101
"MZB1",0.235055206749476,0.168247928210952,0.181821876724958,0.167301567946117,0.157544248461156,0.605332736311154,0.145359787970765,0.239779797947754,0.211224479647961
"JCHAIN",1.26799046113201,2.98988305392342,1.16874673941097,1.20043389651982,1.24042962795574,1.24488836220563,0.564208695475682,1.64346583368244,1.1603249323028
"MKI67",0.0226942722722267,0.0299979830019932,0.063121201135964,0,0,0.0276820752786053,0,0,0
"TOP2A",0.0253176228708445,0.129526738020793,0.114396795435698,0.0177113092022649,0.0290978635992725,0.0595110992821598,0.0497826921603454,0.0320885129541327,0.0955283984114906
"FOXP3",0.0131163608489106,0,0,0,0,0.0301593312491234,0,0.0709229672276465,0.0568449796064329
