"cluster","T_cells","NK_cells","B_cells","Plasma_cells","Myeloid","Dendritic","Mast_cells","Epithelial","Fibroblasts","Endothelial","Pericytes"
"0",1.8100785050222,-0.290200946645603,-0.153825839538161,-0.488222549394132,-0.512388653117832,-0.367945187501292,-0.238861468396991,-0.370096712412429,-0.311087280270584,-0.275269205804066,-0.296769595140716
"1",-0.470924825998159,-0.314770635540437,2.55180853752316,-0.40318893984275,-0.506667843079042,0.323350657701019,-0.243144263970314,-0.377005982145685,-0.31533561503865,-0.271808577976987,-0.315500104231047
"10",0.226543061790778,0.29067105727022,2.07632059773768,-0.348114776182842,-0.112672040979426,-0.0254930379587944,-0.230845037139682,-0.376258906627351,-0.306320023744191,-0.262026614494322,-0.295326161673551
"11",-0.532887496559349,-0.296109360041384,0.179354266411087,-0.3680069940756,-0.00397701193447498,0.440996451291303,4.00629513433675,-0.323146355963935,-0.303547430260639,-0.283304317912753,-0.316006487081196
"12",-0.518299676822254,-0.328188905901425,-0.567781550210771,-0.45154602627794,-0.555284847660307,-0.366879193232464,-0.233594994321814,-0.27295884698871,1.1879922177988,-0.260995866543545,3.60810613853758
"13",-0.514742035320628,-0.209485917662671,-0.484123231460207,-0.476451064610935,-0.538787209703736,-0.353356362133556,-0.203635728994284,-0.278452408898432,-0.263131225323157,3.97838589652053,0.347066857033944
"14",-0.51692216998448,-0.346725832476172,-0.576696026176659,-0.107230765123458,-0.505895978915713,-0.376379896569208,-0.23601223260033,2.44240528873328,-0.305726451152009,-0.286085445858219,-0.306303941278062
"15",-0.169080396743552,-0.339216095881992,-0.511817658642107,-0.523426341771043,0.152967267453941,0.90756088009161,-0.238748525810554,-0.36616658468997,-0.265333136158081,-0.257002321992225,-0.303579727620883
"16",-0.521643722879062,-0.347837561417657,0.234693195267092,2.58751005430063,-0.556809833403341,-0.329072943788534,-0.239802376688124,-0.348001031492624,-0.301002580649298,-0.223563626758557,-0.31551081737104
"17",-0.40052436045147,0.0624612723184339,-0.101769151033739,0.642986516809337,0.32087684417347,0.772326718614241,-0.242776883393623,-0.175406577592212,-0.303235062470455,-0.150542003691255,-0.314578309592692
"2",1.84588859377987,3.89242612552762,-0.257378156766551,-0.466897918500834,-0.439321059633868,-0.376445061717477,-0.229445049866702,-0.368668376750786,-0.306962871083068,-0.243058934582981,-0.285101737830773
"3",2.51055938214379,-0.0613348430672547,-0.0894732314561645,-0.490664324815856,-0.511701191048298,-0.366912653913066,-0.239389046332413,-0.370850814898807,-0.314013218220199,-0.278411637944165,-0.246667770729007
"4",-0.512803956808086,-0.35244206732123,-0.570586627108756,0.00309072666050664,-0.404231254981474,-0.349468185478984,-0.235225642874803,2.94278738021034,-0.293720922923728,-0.276668494641861,-0.310503283674383
"5",-0.527897318171024,-0.334329014653578,-0.0810158458983535,2.33948662389028,-0.568400866739572,-0.372987249653185,-0.239809041175011,-0.375513755045718,-0.312913052640749,-0.208654675465675,-0.31684669279848
"6",-0.401199734021331,-0.260459592962278,-0.373952532407753,-0.453181439974188,2.50419550449141,0.290412189228077,-0.237869847076914,-0.359680572523753,-0.296015293016778,-0.108877756742195,-0.305459319621467
"7",-0.350266183655853,-0.294433879990619,-0.344678444640649,-0.351293301023372,1.83123033461894,1.11788899783527,-0.239862908677822,-0.381718004578059,-0.305669651347256,-0.156922894971928,-0.312314320659125
"8",-0.52064695711263,-0.319756812863031,-0.344443435791015,-0.473525077013912,0.942125043320617,-0.186359028743196,-0.237964049570005,-0.329716650391482,-0.314214317988183,-0.171741893152505,-0.320633480926431
"9",-0.435230708208757,-0.150266988690941,-0.584634865808131,-0.171324403053889,-0.5352572028613,-0.381237094071769,-0.23930803744736,-0.311551087943674,3.63023591448822,-0.263451627987287,0.605928754657333
