"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","gene_id","gene_symbol"
2.3190569076928e-08,0.61963410722084,0.603,0.5,0.000781383034478011,"13","ENSG00000090266","ENSG00000090266","NDUFB2"
2.41232815621482e-08,1.18031060925575,0.259,0.112,0.000812809848955023,"13","ENSG00000204590","ENSG00000204590","GNL1"
2.46764021287787e-08,0.755005087100316,0.206,0.068,0.00083144669332707,"13","ENSG00000149131","ENSG00000149131","SERPING1"
2.47467654640316e-08,1.30659053133536,0.458,0.249,0.000833817515545082,"13","ENSG00000117335","ENSG00000117335","CD46"
2.50466450215502e-08,0.818922181456972,0.658,0.484,0.000843921657356111,"13","ENSG00000143549","ENSG00000143549","TPM3"
2.56785921200382e-08,1.10596195496119,0.356,0.164,0.000865214482892569,"13","ENSG00000130723","ENSG00000130723","PRRC2B"
2.63774840122515e-08,0.867719183831082,0.289,0.143,0.000888762946308802,"13","ENSG00000143442","ENSG00000143442","POGZ"
2.79007628875542e-08,1.41232329597651,0.208,0.077,0.000940088304733251,"13","ENSG00000111321","ENSG00000111321","LTBR"
2.82156714085624e-08,0.931325322384476,0.477,0.314,0.000950698832440102,"13","ENSG00000127022","ENSG00000127022","CANX"
2.84183666564809e-08,0.558997704128934,0.79,0.716,0.000957528446123468,"13","ENSG00000101608","ENSG00000101608","MYL12A"
2.88371823310916e-08,1.1078716901284,0.324,0.175,0.0009716400214638,"13","ENSG00000114867","ENSG00000114867","EIF4G1"
2.88958642543173e-08,0.649744021331923,0.287,0.149,0.000973617250184968,"13","ENSG00000163848","ENSG00000163848","ZNF148"
2.96009296676121e-08,0.91377988490301,0.305,0.139,0.000997373724220523,"13","ENSG00000124422","ENSG00000124422","USP22"
2.96577931505838e-08,0.433128318042686,0.326,0.203,0.000999289682415771,"13","ENSG00000123240","ENSG00000123240","OPTN"
2.97515041237998e-08,1.41519475539258,0.206,0.081,0.00100244717994731,"13","ENSG00000167674","ENSG00000167674","CTB-50L17.10"
3.09587050360219e-08,0.816178406208846,0.23,0.077,0.00104312260748372,"13","ENSG00000110492","ENSG00000110492","MDK"
3.2266982788927e-08,0.66259098146377,0.597,0.453,0.0010872037180901,"13","ENSG00000104964","ENSG00000104964","AES"
3.24388061136814e-08,1.46329432402414,0.367,0.194,0.00109299313319438,"13","ENSG00000002549","ENSG00000002549","LAP3"
3.4630302990434e-08,0.787115273196072,0.257,0.136,0.00116683342895968,"13","ENSG00000113532","ENSG00000113532","ST8SIA4"
3.52311122070184e-08,1.45366643616805,0.204,0.071,0.00118707709470328,"13","ENSG00000078043","ENSG00000078043","PIAS2"
3.53583608973268e-08,0.491035552674428,0.253,0.113,0.00119136461207453,"13","ENSG00000140403","ENSG00000140403","DNAJA4"
3.64332957432594e-08,1.30112327476217,0.236,0.097,0.00122758346677338,"13","ENSG00000136451","ENSG00000136451","VEZF1"
3.646297925857e-08,0.671577622973272,0.354,0.217,0.00122858362313826,"13","ENSG00000099800","ENSG00000099800","TIMM13"
3.64715071263196e-08,0.752197469183978,0.495,0.311,0.00122887096111421,"13","ENSG00000161960","ENSG00000161960","EIF4A1"
3.76991494209228e-08,0.627091420983266,0.473,0.294,0.00127023514058857,"13","ENSG00000102786","ENSG00000102786","INTS6"
3.94410058418686e-08,1.09336830811499,0.208,0.086,0.00132892525083592,"13","ENSG00000165102","ENSG00000165102","HGSNAT"
4.01721850162772e-08,0.958516848966818,0.523,0.352,0.00135356160193844,"13","ENSG00000184752","ENSG00000184752","NDUFA12"
