"gene_id","gene_symbol","ENTREZID","cell_type","rank_stat"
"ENSG00000143367","TUFT1","7286","B_cells",2.50690016092355
"ENSG00000130518","KIAA1683","80726","B_cells",2.50171891802879
"ENSG00000174718","KIAA1551","55196","B_cells",2.49947509612116
"ENSG00000181381","DDX60L","91351","B_cells",2.49807100286614
"ENSG00000110318","CEP126","57562","B_cells",2.48613609580829
"ENSG00000182158","CREB3L2","64764","B_cells",2.47857690570981
"ENSG00000128585","MKLN1","4289","B_cells",2.47391998518913
"ENSG00000119138","KLF9","687","B_cells",2.46922483121227
"ENSG00000038274","MAT2B","27430","B_cells",2.46085217503959
"ENSG00000132005","RFX1","5989","B_cells",2.45864499235947
"ENSG00000173372","C1QA","712","B_cells",2.45669445890908
"ENSG00000177169","ULK1","8408","B_cells",2.4537432956353
"ENSG00000140153","WDR20","91833","B_cells",2.45044327043583
"ENSG00000100100","PIK3IP1","113791","B_cells",2.44677773038445
"ENSG00000151883","PARP8","79668","B_cells",2.43391148866645
"ENSG00000152518","ZFP36L2","678","B_cells",2.43291369707091
"ENSG00000171813","PWWP2B","170394","B_cells",2.42541499776384
"ENSG00000164440","TXLNB","167838","B_cells",2.42531725487879
"ENSG00000100852","ARHGAP5","394","B_cells",2.4209823292481
"ENSG00000157107","FCHO2","115548","B_cells",2.41979061588266
"ENSG00000146833","TRIM4","89122","B_cells",2.41966103766089
"ENSG00000121060","TRIM25","7706","B_cells",2.41909473063712
"ENSG00000186063","AIDA","64853","B_cells",2.41456460550452
"ENSG00000133639","BTG1","694","B_cells",2.40777797968053
"ENSG00000120694","HSPH1","10808","B_cells",2.40598780499327
"ENSG00000196437","ZNF569","148266","B_cells",2.40529589662526
"ENSG00000138166","DUSP5","1847","B_cells",2.40438666861635
"ENSG00000147174","ACRC","93953","B_cells",2.39707566634468
"ENSG00000112308","C6orf62","81688","B_cells",2.39695052432492
"ENSG00000180694","TMEM64","169200","B_cells",2.39533104562527
"ENSG00000140471","LINS1","55180","B_cells",2.39438968103187
"ENSG00000106952","TNFSF8","944","B_cells",2.39196776163683
"ENSG00000161921","CXCL16","58191","B_cells",2.3871658872739
"ENSG00000168461","RAB31","11031","B_cells",2.38598988903613
"ENSG00000101665","SMAD7","4092","B_cells",2.38466520265007
"ENSG00000003402","CFLAR","8837","B_cells",2.3817515647947
"ENSG00000124160","NCOA5","57727","B_cells",2.3710589215867
"ENSG00000123096","SSPN","8082","B_cells",2.36505497830284
"ENSG00000257093","KIAA1147","57189","B_cells",2.36439126037835
"ENSG00000046653","GPM6B","2824","B_cells",2.36135352660238
"ENSG00000269821","KCNQ1OT1","10984","B_cells",2.35679364333006
"ENSG00000198954","KIF1BP","26128","B_cells",2.35648802919718
"ENSG00000130449","ZSWIM6","57688","B_cells",2.34646678907818
"ENSG00000138399","FASTKD1","79675","B_cells",2.34417253929127
"ENSG00000048740","CELF2","10659","B_cells",2.34218100959307
"ENSG00000183808","RBM12B","389677","B_cells",2.33944733824639
"ENSG00000172915","NBEA","26960","B_cells",2.32701161583593
"ENSG00000100473","COCH","1690","B_cells",2.32397959224693
"ENSG00000057657","PRDM1","639","B_cells",2.31682770422188
"ENSG00000008710","PKD1","5310","B_cells",2.31658228536325
"ENSG00000114473","IQCG","84223","B_cells",2.31084329644142
"ENSG00000179562","GCC1","79571","B_cells",2.30517914863529
"ENSG00000089486","CDIP1","29965","B_cells",2.30325523158925
"ENSG00000001561","ENPP4","22875","B_cells",2.29841820220622
"ENSG00000178177","LCORL","254251","B_cells",2.29700085910555
"ENSG00000204231","RXRB","6257","B_cells",2.29572018514131
"ENSG00000130340","SNX9","51429","B_cells",2.29476800645771
"ENSG00000175505","CLCF1","23529","B_cells",2.281887855463
"ENSG00000125148","MT2A","4502","B_cells",2.27944434928743
"ENSG00000095209","TMEM38B","55151","B_cells",2.27883466146604
"ENSG00000124688","MAD2L1BP","9587","B_cells",2.27799279519726
"ENSG00000118689","FOXO3","2309","B_cells",2.26652725100363
"ENSG00000137265","IRF4","3662","B_cells",2.2595023840172
"ENSG00000156853","ZNF689","115509","B_cells",2.25874525062567
"ENSG00000143756","FBXO28","23219","B_cells",2.25755056287641
"ENSG00000111897","SERINC1","57515","B_cells",2.25541694360034
"ENSG00000101407","TTI1","9675","B_cells",2.25388142040326
"ENSG00000165113","GKAP1","80318","B_cells",2.24664733662275
"ENSG00000136997","MYC","4609","B_cells",2.24407462452554
"ENSG00000005379","BZRAP1","9256","B_cells",2.2411820164147
"ENSG00000100697","DICER1","23405","B_cells",2.23840135610698
"ENSG00000213020","ZNF611","81856","B_cells",2.23528606728366
"ENSG00000119977","TCTN3","26123","B_cells",2.23149466570261
"ENSG00000179454","KLHL28","54813","B_cells",2.23021127803861
"ENSG00000157741","UBN2","254048","B_cells",2.22878129140677
"ENSG00000130024","PHF10","55274","B_cells",2.22869386492314
"ENSG00000172530","BANP","54971","B_cells",2.22800210266582
"ENSG00000170836","PPM1D","8493","B_cells",2.22218003612955
"ENSG00000104695","PPP2CB","5516","B_cells",2.22144072848867
"ENSG00000247828","TMEM161B-AS1","100505894","B_cells",2.22051536889439
"ENSG00000077684","JADE1","79960","B_cells",2.21397063216735
"ENSG00000017260","ATP2C1","27032","B_cells",2.21159035638864
"ENSG00000084112","SSH1","54434","B_cells",2.2112383114606
"ENSG00000180917","CMTR2","55783","B_cells",2.21092888899958
"ENSG00000261824","LINC00662","148189","B_cells",2.21091834409908
"ENSG00000186834","HEXIM1","10614","B_cells",2.20540858366259
"ENSG00000118263","KLF7","8609","B_cells",2.20420130638038
"ENSG00000157181","C1orf27","54953","B_cells",2.20037259094259
"ENSG00000137959","IFI44L","10964","B_cells",2.19673553524133
"ENSG00000080819","CPOX","1371","B_cells",2.19316724304846
"ENSG00000100564","PIGH","5283","B_cells",2.19307033451504
"ENSG00000204713","TRIM27","5987","B_cells",2.19181575395438
"ENSG00000204569","PPP1R10","5514","B_cells",2.18537191460308
"ENSG00000166747","AP1G1","164","B_cells",2.1803800658529
"ENSG00000139323","POC1B","282809","B_cells",2.17961530026722
"ENSG00000101596","SMCHD1","23347","B_cells",2.17598291057528
"ENSG00000170903","MSANTD4","84437","B_cells",2.16578272406243
"ENSG00000162804","SNED1","25992","B_cells",2.16528158430652
"ENSG00000164074","ABHD18","80167","B_cells",2.1633770680899
"ENSG00000164442","CITED2","10370","B_cells",2.16254106863566
"ENSG00000134852","CLOCK","9575","B_cells",2.16156880701155
"ENSG00000163743","RCHY1","25898","B_cells",2.1604088073901
"ENSG00000149970","CNKSR2","22866","B_cells",2.15878561111681
"ENSG00000114790","ARHGEF26","26084","B_cells",2.15689216885848
"ENSG00000117020","AKT3","10000","B_cells",2.1502338472135
"ENSG00000101265","RASSF2","9770","B_cells",2.14570977852303
"ENSG00000170502","NUDT9","53343","B_cells",2.14434784786196
"ENSG00000137628","DDX60","55601","B_cells",2.1406596568756
"ENSG00000148840","PPRC1","23082","B_cells",2.13810192757864
"ENSG00000119004","CYP20A1","57404","B_cells",2.1360853378326
"ENSG00000184307","ZDHHC23","254887","B_cells",2.12657877325365
"ENSG00000130699","TAF4","6874","B_cells",2.12402861036963
"ENSG00000114315","HES1","3280","B_cells",2.12212816712125
"ENSG00000197872","FAM49A","81553","B_cells",2.1198617009036
"ENSG00000139174","PRICKLE1","144165","B_cells",2.11932483937247
"ENSG00000140030","GPR65","8477","B_cells",2.11825307496074
