"feature"
"ENSG00000211899"
"ENSG00000254709"
"ENSG00000211893"
"ENSG00000211666"
"ENSG00000211892"
"ENSG00000137673"
"ENSG00000243466"
"ENSG00000211598"
"ENSG00000211640"
"ENSG00000211648"
"ENSG00000211651"
"ENSG00000122711"
"ENSG00000211649"
"ENSG00000115386"
"ENSG00000188257"
"ENSG00000211938"
"ENSG00000133636"
"ENSG00000211668"
"ENSG00000169245"
"ENSG00000275385"
"ENSG00000016490"
"ENSG00000128422"
"ENSG00000278196"
"ENSG00000179914"
"ENSG00000138755"
"ENSG00000160181"
"ENSG00000224650"
"ENSG00000174992"
"ENSG00000102837"
"ENSG00000211890"
"ENSG00000118785"
"ENSG00000172724"
"ENSG00000241351"
"ENSG00000211660"
"ENSG00000211945"
"ENSG00000124102"
"ENSG00000187908"
"ENSG00000099953"
"ENSG00000242371"
"ENSG00000211959"
"ENSG00000172156"
"ENSG00000163735"
"ENSG00000211653"
"ENSG00000107317"
"ENSG00000211943"
"ENSG00000211644"
"ENSG00000211949"
"ENSG00000134193"
"ENSG00000244437"
"ENSG00000163586"
"ENSG00000211947"
"ENSG00000167653"
"ENSG00000197766"
"ENSG00000211679"
"ENSG00000262406"
"ENSG00000239951"
"ENSG00000091138"
"ENSG00000170373"
"ENSG00000130208"
"ENSG00000145423"
"ENSG00000243238"
"ENSG00000007306"
"ENSG00000215182"
"ENSG00000148346"
"ENSG00000007908"
"ENSG00000211937"
"ENSG00000211964"
"ENSG00000270550"
"ENSG00000211662"
"ENSG00000102970"
"ENSG00000211673"
"ENSG00000143248"
"ENSG00000149968"
"ENSG00000145824"
"ENSG00000211663"
"ENSG00000156234"
"ENSG00000211966"
"ENSG00000044012"
"ENSG00000105825"
"ENSG00000244575"
"ENSG00000222037"
"ENSG00000160182"
"ENSG00000197273"
"ENSG00000101443"
"ENSG00000124253"
"ENSG00000225698"
"ENSG00000111341"
"ENSG00000133048"
"ENSG00000196611"
"ENSG00000115461"
"ENSG00000181374"
"ENSG00000211935"
"ENSG00000110799"
"ENSG00000275395"
"ENSG00000211956"
"ENSG00000172236"
"ENSG00000239571"
"ENSG00000211659"
"ENSG00000280411"
"ENSG00000146674"
"ENSG00000102962"
"ENSG00000241294"
"ENSG00000211897"
"ENSG00000130300"
"ENSG00000106483"
"ENSG00000240583"
"ENSG00000213088"
"ENSG00000131203"
"ENSG00000106541"
"ENSG00000211669"
"ENSG00000170835"
"ENSG00000106366"
"ENSG00000232216"
"ENSG00000211976"
"ENSG00000134028"
"ENSG00000205502"
"ENSG00000112115"
"ENSG00000205358"
"ENSG00000242534"
"ENSG00000164283"
"ENSG00000211950"
"ENSG00000241755"
"ENSG00000159167"
"ENSG00000197253"
"ENSG00000115523"
"ENSG00000109846"
"ENSG00000175084"
"ENSG00000224373"
"ENSG00000124875"
"ENSG00000175063"
"ENSG00000130203"
"ENSG00000108700"
"ENSG00000240382"
"ENSG00000282122"
"ENSG00000125144"
"ENSG00000211941"
"ENSG00000130513"
"ENSG00000166165"
"ENSG00000159182"
"ENSG00000107796"
"ENSG00000196754"
"ENSG00000133110"
"ENSG00000078401"
"ENSG00000243709"
"ENSG00000240864"
"ENSG00000211652"
"ENSG00000211962"
"ENSG00000211896"
"ENSG00000131477"
"ENSG00000164266"
"ENSG00000149591"
"ENSG00000015413"
"ENSG00000211638"
"ENSG00000171431"
"ENSG00000162896"
"ENSG00000166923"
"ENSG00000261857"
"ENSG00000154099"
"ENSG00000167434"
"ENSG00000163687"
"ENSG00000170323"
"ENSG00000243290"
"ENSG00000165828"
"ENSG00000205426"
"ENSG00000108821"
"ENSG00000163017"
"ENSG00000135346"
"ENSG00000160180"
"ENSG00000100985"
"ENSG00000211955"
"ENSG00000100448"
"ENSG00000160307"
"ENSG00000175198"
"ENSG00000183844"
"ENSG00000137745"
"ENSG00000112378"
"ENSG00000167755"
"ENSG00000125730"
"ENSG00000108691"
"ENSG00000127318"
"ENSG00000211637"
"ENSG00000124107"
"ENSG00000271933"
"ENSG00000016602"
"ENSG00000239855"
"ENSG00000104332"
"ENSG00000110492"
"ENSG00000164400"
"ENSG00000140274"
"ENSG00000185633"
"ENSG00000133742"
"ENSG00000211933"
"ENSG00000108244"
"ENSG00000118523"
"ENSG00000128383"
"ENSG00000184113"
"ENSG00000066405"
"ENSG00000143369"
"ENSG00000029559"
"ENSG00000115414"
"ENSG00000259823"
"ENSG00000102755"
"ENSG00000100453"
"ENSG00000011465"
"ENSG00000128567"
"ENSG00000133710"
"ENSG00000100292"
"ENSG00000204291"
"ENSG00000176153"
"ENSG00000188536"
"ENSG00000101333"
"ENSG00000079385"
"ENSG00000164932"
"ENSG00000137440"
"ENSG00000205189"
"ENSG00000211970"
"ENSG00000058085"
"ENSG00000118946"
"ENSG00000162892"
"ENSG00000111057"
"ENSG00000248144"
"ENSG00000135480"
"ENSG00000167748"
"ENSG00000164692"
"ENSG00000106819"
"ENSG00000143184"
"ENSG00000250641"
"ENSG00000196878"
"ENSG00000163751"
"ENSG00000129451"
"ENSG00000176919"
"ENSG00000086548"
"ENSG00000069482"
"ENSG00000169248"
"ENSG00000169347"
"ENSG00000115380"
"ENSG00000168542"
"ENSG00000196188"
"ENSG00000147676"
"ENSG00000101311"
"ENSG00000119922"
"ENSG00000165215"
"ENSG00000197632"
"ENSG00000135744"
"ENSG00000188373"
"ENSG00000184292"
"ENSG00000211965"
"ENSG00000140279"
"ENSG00000134240"
"ENSG00000187498"
"ENSG00000131016"
"ENSG00000107984"
"ENSG00000211967"
"ENSG00000130821"
"ENSG00000169908"
"ENSG00000155850"
"ENSG00000166670"
"ENSG00000071203"
"ENSG00000169715"
"ENSG00000139329"
"ENSG00000143185"
"ENSG00000013588"
"ENSG00000100721"
"ENSG00000203883"
"ENSG00000117525"
"ENSG00000124882"
"ENSG00000172023"
"ENSG00000091986"
"ENSG00000126890"
"ENSG00000137573"
"ENSG00000173467"
"ENSG00000211934"
"ENSG00000138207"
"ENSG00000077942"
