"sample_id","counts_upper_3mad","features_upper_3mad","mt_upper_3mad"
"L1",66082.1014230648,15285.8523537791,25.5427877383981
"L2",110114.469524806,9655.43395002043,49.6061445940708
"L3",38961.0210545103,6954.2299311591,16.6586306455737
"R1",55915.8012105407,8473.28127594426,14.8347058284094
"R2",19466.6980864146,3619.88930467561,19.3847526533676
"R3",81498.0922486288,9932.12244135195,51.5003155934549
