"sample_id","metric","quantile","value"
"R3","nCount_RNA",0.25,1702
"R3","nCount_RNA",0.5,3120
"R3","nCount_RNA",0.75,7527
"R3","nCount_RNA",0.95,20401.6
"R3","nCount_RNA",0.99,41881.8
"R3","nCount_RNA",1,95996
"R3","nFeature_RNA",0,10
"R3","nFeature_RNA",0.01,44
"R3","nFeature_RNA",0.05,122
"R3","nFeature_RNA",0.25,574
"R3","nFeature_RNA",0.5,1024
"R3","nFeature_RNA",0.75,1629
"R3","nFeature_RNA",0.95,3781.6
"R3","nFeature_RNA",0.99,5864.96
"R3","nFeature_RNA",1,8387
"R3","percent.mt",0,0
"R3","percent.mt",0.01,0.373993988441897
"R3","percent.mt",0.05,1.43227561374155
"R3","percent.mt",0.25,5.92859482476253
"R3","percent.mt",0.5,11.6977696859354
"R3","percent.mt",0.75,49.2606107163434
"R3","percent.mt",0.95,96.6445262976611
"R3","percent.mt",0.99,98.7303904738261
"R3","percent.mt",1,99.6236910994764
