"gene_id","cell_type","logFC_mt25","FDR_mt25","significant_mt25","logFC_mt20","FDR_mt20","significant_mt20"
"ENSG00000000003","Endothelial",0.507370951092327,0.998348054428417,FALSE,0.582508475019655,0.998456677726992,FALSE
"ENSG00000000003","Epithelial",-0.557044654248785,0.999885721283904,FALSE,-0.483056170495361,0.999961302946579,FALSE
"ENSG00000000419","B_cells",-0.534333260251568,0.926970182413002,FALSE,-0.529407548334873,0.924925109414933,FALSE
"ENSG00000000419","Endothelial",-0.627212143501344,0.998348054428417,FALSE,-0.684294113973166,0.998456677726992,FALSE
"ENSG00000000419","Epithelial",-0.523265556655654,0.999885721283904,FALSE,-0.518513337493899,0.999961302946579,FALSE
"ENSG00000000419","Macrophages",0.328504839284884,0.998845877114298,FALSE,0.349889478883949,0.999178301045505,FALSE
"ENSG00000000419","Monocytes",-0.113964067681719,0.968748546900768,FALSE,-0.0826131685598696,0.977500498402378,FALSE
"ENSG00000000419","Pericytes",0.144669830073995,0.996670563838034,FALSE,0.155307299505437,0.997861040884521,FALSE
"ENSG00000000419","Plasma_cells",0.296166174330988,0.999095059856237,FALSE,0.305355160896005,0.999687993938603,FALSE
"ENSG00000000419","T_cells",-0.176720053872458,0.936504760027924,FALSE,-0.186384311371569,0.935949456260214,FALSE
"ENSG00000000457","B_cells",0.417640222552164,0.94235968268507,FALSE,0.423101732870947,0.933196865021981,FALSE
"ENSG00000000457","Epithelial",0.636898017647899,0.999885721283904,FALSE,0.734438115735737,0.999961302946579,FALSE
"ENSG00000000457","Plasma_cells",0.149966261259731,0.999095059856237,FALSE,0.149667921389531,0.999687993938603,FALSE
"ENSG00000000457","T_cells",0.208717879147624,0.948887607613567,FALSE,0.244734243831027,0.939388204735431,FALSE
"ENSG00000000460","B_cells",-0.917342283327975,0.926970182413002,FALSE,-0.914732755494552,0.924925109414933,FALSE
"ENSG00000000460","Epithelial",-0.0657830581566119,0.999885721283904,FALSE,-0.0230361939263631,0.999961302946579,FALSE
"ENSG00000000460","T_cells",-1.22650589909149,0.856451453039951,FALSE,-1.22418161174608,0.861294449400562,FALSE
"ENSG00000000938","B_cells",-0.592556358048605,0.935592648269505,FALSE,-0.532026275378094,0.932808740032655,FALSE
