"gene_id","cell_type","loo_direction_consistency","min_loo_logcpm_difference","max_loo_logcpm_difference"
"ENSG00000279457","B_cells",1,0.040833509971463,0.849261909409849
"ENSG00000228463","B_cells",0.833333333333333,-1.04659069988165,0.239855745682108
"ENSG00000237491","B_cells",0.166666666666667,-1.05048894885371,0.182320342070322
"ENSG00000225880","B_cells",0.5,-0.299742486204028,0.22479510269702
"ENSG00000188976","B_cells",0.166666666666667,-0.609718999268683,0.349404346399198
"ENSG00000188290","B_cells",0.333333333333333,-1.07610675113088,0.192677544858464
"ENSG00000187608","B_cells",0.5,-0.474013724827091,0.76418386036565
"ENSG00000186891","B_cells",0.333333333333333,-0.988546548354064,1.36541314557297
"ENSG00000078808","B_cells",0.833333333333333,-0.250255529596763,0.0305418390189942
"ENSG00000176022","B_cells",0.5,-0.449542361569952,0.661177099207572
"ENSG00000160087","B_cells",1,-0.178996854498421,-0.0167850822898536
"ENSG00000131584","B_cells",1,0.0926348190256499,0.729896993885266
"ENSG00000169972","B_cells",1,-1.4663031447049,-0.461630768838396
"ENSG00000127054","B_cells",1,-0.736289410789263,-0.503682270621409
"ENSG00000224051","B_cells",1,-2.02684361519814,-0.386301859122848
"ENSG00000107404","B_cells",0.5,-0.252381389729699,0.31383025716657
"ENSG00000175756","B_cells",1,-0.992896883167024,-0.139600025661243
"ENSG00000221978","B_cells",0.833333333333333,-0.0409599648029921,0.296495549679184
"ENSG00000242485","B_cells",0.833333333333333,-0.775692870953409,0.0782490634561563
"ENSG00000160072","B_cells",0.833333333333333,-0.080767495176385,0.517005640064542
"ENSG00000197785","B_cells",1,-0.654997281451255,-0.384182346658092
"ENSG00000160075","B_cells",0.833333333333333,-0.364658749066429,0.131594816318028
"ENSG00000272106","B_cells",0.833333333333333,-0.378533152460092,0.0842183787607
"ENSG00000197530","B_cells",1,0.148719334511493,0.599619594915933
"ENSG00000248333","B_cells",1,0.00262114279819947,0.705147637382323
"ENSG00000189339","B_cells",1,0.028392383781398,0.726269900270115
"ENSG00000008128","B_cells",0.833333333333333,-0.951165812057708,0.19350371064707
"ENSG00000008130","B_cells",1,-0.442379236381109,-0.0904707202966009
"ENSG00000078369","B_cells",0.666666666666667,-0.0411556262293802,0.163754077677268
"ENSG00000067606","B_cells",0.5,-0.627618873631623,0.329760863667206
"ENSG00000162585","B_cells",1,-0.583360205167612,-0.0673616123919505
"ENSG00000157933","B_cells",1,0.514659266417437,1.05756217558742
"ENSG00000157916","B_cells",1,-0.69314787660037,-0.177528948681025
"ENSG00000157911","B_cells",0.5,-0.204242055101491,0.332168460075635
"ENSG00000149527","B_cells",0.833333333333333,-0.474852804726503,0.861575008745364
"ENSG00000157881","B_cells",1,-0.561329803360458,-0.0356513225980803
"ENSG00000272449","B_cells",1,-1.10476439220521,-0.142443074004301
"ENSG00000238164","B_cells",1,0.190045355536805,0.585718249500593
"ENSG00000157873","B_cells",1,-0.347264826122907,-0.0442890492740338
"ENSG00000158109","B_cells",0.833333333333333,-0.010668555608814,0.599831243878183
"ENSG00000116213","B_cells",1,-1.02432353068491,-0.588899787695536
"ENSG00000227372","B_cells",0.833333333333333,-0.325702707445245,0.493002369388289
"ENSG00000130764","B_cells",0.833333333333333,-0.580939858963916,0.0941552252363627
"ENSG00000116198","B_cells",0.166666666666667,-0.372295744811351,0.15604772483946
"ENSG00000169598","B_cells",0.833333333333333,-0.156088433363234,0.513244024096629
"ENSG00000198912","B_cells",1,0.17146327997637,0.598017387736532
"ENSG00000069424","B_cells",1,0.107166720825915,0.792256524647976
"ENSG00000116251","B_cells",0.833333333333333,-0.514336873402161,0.0941086639201423
"ENSG00000116237","B_cells",1,-1.06094951858956,-0.78572261747841
"ENSG00000097021","B_cells",1,-1.83315760225635,-1.04723692543756
"ENSG00000162408","B_cells",1,0.0857152641095373,0.67822585405717
"ENSG00000204859","B_cells",0.833333333333333,-0.0494056423962372,0.596735539812966
"ENSG00000162413","B_cells",1,0.783974876902534,1.80822216302419
"ENSG00000116273","B_cells",0.833333333333333,-0.145746154641282,0.981009524790592
"ENSG00000041988","B_cells",0.833333333333333,-0.364191046315529,0.775160733382252
"ENSG00000007923","B_cells",0.833333333333333,-0.0101371109974209,0.482189505311555
"ENSG00000171735","B_cells",1,-0.590139992679541,-0.112254040446095
"ENSG00000049245","B_cells",0.833333333333333,-0.733165157632721,0.198386529402516
"ENSG00000116288","B_cells",1,-1.23545936038138,-0.111179995718095
"ENSG00000116285","B_cells",1,0.411604954885037,1.27333179544839
"ENSG00000142599","B_cells",0.833333333333333,-0.0856528725803933,0.425615069295034
"ENSG00000074800","B_cells",1,-1.16082778039561,-0.516236295910202
"ENSG00000142583","B_cells",1,-1.42799707873157,-0.546472737578266
"ENSG00000180758","B_cells",0.5,-0.699063445267773,0.551750993670907
"ENSG00000049239","B_cells",0.666666666666667,-0.506200273657263,0.633483399597211
