"logFC","logCPM","F","PValue","FDR","gene_id","gene_symbol","cell_type","scenario","significant","direction","FDR_global"
2.74426888752496,8.90141991526602,42.8639412411969,3.22020812119641e-06,0.0112057796237662,"ENSG00000265972","TXNIP","Endothelial","primary_mt25",TRUE,"higher_right",0.0828343470776159
1.7465304991339,7.9001249805209,30.7070522804238,2.05549436751207e-05,0.0297481422338185,"ENSG00000157514","TSC22D3","Endothelial","primary_mt25",TRUE,"higher_right",0.142466314612262
2.37884437804844,5.75904142732849,39.7194010861395,3.8714042576494e-06,0.0112057796237662,"ENSG00000136999","NOV","Endothelial","primary_mt25",TRUE,"higher_right",0.0828343470776159
-3.53794946275962,6.84438100684999,49.3325844632055,8.02288709730035e-06,0.0154814978020906,"ENSG00000100376","FAM118A","Endothelial","primary_mt25",TRUE,"higher_left",0.100181830671418
3.02724056346227,9.82019546911862,43.9147018406563,2.65374441309873e-06,0.00768789756474702,"ENSG00000157514","TSC22D3","Mast_cells","primary_mt25",TRUE,"higher_right",0.0828343470776159
2.77485788061171,6.19371903991092,40.902818994781,4.78051346574035e-06,0.0213354315975992,"ENSG00000096060","FKBP5","Pericytes","primary_mt25",TRUE,"higher_right",0.0828343470776159
2.75563200074035,8.96705555925869,42.0294868550568,4.42451339908344e-06,0.0123311188432455,"ENSG00000265972","TXNIP","Endothelial","sensitivity_mt20",TRUE,"higher_right",0.100576563750165
2.70565229021862,5.80433015979079,45.0397030165325,2.34181199106325e-06,0.0123311188432455,"ENSG00000136999","NOV","Endothelial","sensitivity_mt20",TRUE,"higher_right",0.0873557867117363
-3.58292450869248,6.85581949245439,47.4713671311427,1.08273551758084e-05,0.020117225916652,"ENSG00000100376","FAM118A","Endothelial","sensitivity_mt20",TRUE,"higher_left",0.123061914369043
3.01707923869956,9.82305581186702,43.693055608264,2.56194110159796e-06,0.00737326649039892,"ENSG00000157514","TSC22D3","Mast_cells","sensitivity_mt20",TRUE,"higher_right",0.0873557867117363
2.85226789171461,6.18799491708439,39.7422906835566,6.74851886491889e-06,0.0301321367318628,"ENSG00000096060","FKBP5","Pericytes","sensitivity_mt20",TRUE,"higher_right",0.115053810998286
